,marketcap
1170,14918453248
1171,14888396321
1172,14872074240
1173,14871925760
1174,14856567808
1175,14851773440
1176,14796334080
1177,14765795328
1178,14745964544
1179,14728992031
1180,14723328000
1181,14710245376
1182,14697149440
1183,14695041943
1184,14677670290
1185,14670986240
1186,14609836438
1187,14602663936
1188,14581720064
1189,14572945408
1190,14534364160
1191,14531836362
1192,14501164048
1193,14487259334
1194,14484138129
1195,14467704832
1196,14460000256
1197,14417930313
1198,14414447616
1199,14413762560
1200,14391745536
1201,14389983232
1202,14388584448
1203,14341269504
1204,14329986761
1205,14324955136
1206,14304857088
1207,14258023424
1208,14240826368
1209,14234535464
1210,14218920960
1211,14215670677
1212,14191201280
1213,14182489394
1214,14178344960
1215,14149413269
1216,14141447168
1217,14095684608
1218,14090947073
1219,14088534016
1220,14084067328
1221,14083115008
1222,14064387072
1223,14059883043
1224,14058768384
1225,14052943261
1226,14048773705
1227,14030560707
1228,14006121528
1229,13937843200
1230,13936844390
1231,13933511680
1232,13900237824
1233,13844149248
1234,13836862496
1235,13836342985
1236,13809343257
1237,13787897856
1238,13782831573
1239,13769357277
1240,13739603170
1241,13716993024
1242,13707293738
1243,13677448611
1244,13656786301
1245,13652545737
1246,13644711341
1247,13576234653
1248,13575318528
1249,13562202112
1250,13557841026
1251,13549959272
1252,13538328576
1253,13512881152
1254,13509350627
1255,13508817920
1256,13500027904
1257,13475998195
1258,13455284224
1259,13429184467
1260,13422969796
1261,13384788992
1262,13379016216
1263,13372167663
1264,13366793216
1265,13353868411
1266,13353518080
1267,13345789972
1268,13338078164
1269,13322386432
1270,13312005854
1271,13282603910
1272,13282029325
1273,13264373361
1274,13246642781
1275,13229754368
1276,13217899766
1277,13211805696
1278,13198487552
1279,13192415232
1280,13191611632
1281,13191263232
1282,13173808728
1283,13155915327
1284,13149891232
1285,13137672192
1286,13107929088
1287,13101676937
1288,13087087418
1289,13054524343
1290,13053884416
1291,13011046145
1292,13010985173
1293,12989747627
1294,12982410739
1295,12960970283
1296,12957949763
1297,12948687872
1298,12930146304
1299,12908864489
1300,12846146914
1301,12839580672
1302,12834382192
1303,12832993749
1304,12829071360
1305,12812116625
1306,12807627776
1307,12802486888
1308,12791827456
1309,12787239936
1310,12786173952
1311,12784618543
1312,12760376320
1313,12756940245
1314,12747419223
1315,12745131008
1316,12738384896
1317,12734217216
1318,12730542022
1319,12718643200
1320,12678660096
1321,12673284096
1322,12659998720
1323,12657583120
1324,12655624192
1325,12633876480
1326,12575826944
1327,12558108248
1328,12547505152
1329,12486383675
1330,12464701440
1331,12452083712
1332,12446452736
1333,12431229952
1334,12411939015
1335,12404494644
1336,12388540416
1337,12384010240
1338,12371984384
1339,12371614720
1340,12370668544
1341,12369510400
1342,12368599040
1343,12339582976
1344,12332283904
1345,12331861711
1346,12312511488
1347,12303070208
1348,12282561536
1349,12280579291
1350,12270713073
1351,12255522351
1352,12255340544
1353,12231054336
1354,12211216602
1355,12210357248
1356,12182389244
1357,12179935091
1358,12158236672
1359,12148286765
1360,12135643249
1361,12133585327
1362,12126180027
1363,12114259968
1364,12110232576
1365,12095300155
1366,12074174745
1367,12033511918
1368,12014125176
1369,11990035063
1370,11969501184
1371,11968694272
1372,11939799843
1373,11937492992
1374,11931284480
1375,11930706218
1376,11922292154
1377,11915255808
1378,11888843209
1379,11876393984
1380,11855860736
1381,11826235392
1382,11818628096
1383,11810082816
1384,11809439744
1385,11800816565
1386,11774412800
1387,11755705344
1388,11744290764
1389,11736375296
1390,11735051513
1391,11710812109
1392,11656003584
1393,11654010369
1394,11644920832
1395,11640516608
1396,11624239104
1397,11610438656
1398,11581894656
1399,11575647232
1400,11573211136
1401,11572174848
