,Smoking
626,50.81500251
627,49.78236325
628,50.11152867
629,50.66539399
630,50.64319028
631,50.48490924
632,51.43705655
633,51.6150346
634,52.22491996
635,52.80336947
636,53.25589547
637,54.0749514
638,55.9411413
639,57.21190627
640,58.40490932
641,59.39103801
642,60.86064505
643,62.279987
644,230.9667735
645,231.5549121
646,232.1981568
647,233.0245396
648,233.884921
649,234.488867
650,231.5650492
651,234.1442697
652,235.1001889
653,234.0956169
654,237.562134
655,238.6713222
656,239.7838516
657,243.0829621
658,244.8450957
659,247.8346031
660,250.0143794
661,253.2965
662,256.6270091
663,262.1538463
664,265.9178001
665,269.9331343
666,274.0232057
667,278.5533449
668,282.9061747
669,287.2586342
670,291.6337319
671,296.2936897
672,3386.504058
673,3381.954309
674,3316.373327
675,3290.20116
676,3231.299012
677,3223.745245
678,3197.891194
679,3219.008043
680,3210.846436
681,3215.25519
682,3212.209504
683,3216.571594
684,3252.036876
685,3283.667529
686,3313.111086
687,3360.584318
688,3397.994399
689,3452.126206
690,3506.76157
691,3559.42706
692,3610.699218
693,3670.688159
694,3723.716175
695,3780.616607
696,3837.996482
697,3895.139295
698,3957.921401
699,4024.79707
700,6199.437288
701,6979.140648
702,7367.057892
703,7577.687582
704,7641.459762
705,7551.614019
706,7254.59939
707,6964.743251
708,6625.099957
709,6732.199934
710,6825.764569
711,6934.79319
712,6971.69293
713,6823.128707
714,6788.517273
715,7187.392974
716,7211.430358
717,7571.783081
718,7348.850608
719,7463.201758
720,7493.986156
721,7585.054527
722,7597.226644
723,7808.280472
724,7964.120538
725,8219.153585
726,8339.217317
727,8482.64675
728,678.4831572
729,693.1272006
730,707.6926571
731,718.9774504
732,728.3394479
733,734.2789696
734,732.7552516
735,735.2824614
736,744.8595173
737,762.0958094
738,789.9854485
739,820.4531586
740,854.7949068
741,882.9705516
742,898.3407608
743,896.7519168
744,892.8955112
745,857.976194
746,877.341785
747,888.0301064
748,884.5359017
749,884.4704097
750,875.6468353
751,877.7136715
752,884.1524687
753,892.1421711
754,892.6066011
755,901.3208983
756,152553.5931
