,Count
847,7461634
848,44288608
849,2635126
850,189242000
851,9428906
852,84198
853,9052635
854,8476
855,39800
856,35721217
857,69946
858,119559
859,1022000
860,5556766
861,18423161
862,3360104
863,4178726
864,57032
865,9744781
866,5735044
867,1814135
868,17469
869,138039
870,21824425
871,2145001
872,22854
873,57641
874,11167000
875,7223801
876,4456687
877,3026290
878,9378113
879,2585965
880,5098890
881,53741716
882,8144340
883,182887
884,133709
885,3478997
886,8524224
887,103069
888,48900
889,3957757
890,81064571
891,234586
892,97812
893,246964
894,547873
895,1608616
896,19325000
897,5789228
898,113773
899,8821858
900,698355000
901,4071411
902,5643036
903,16903831
904,1125352
905,18175185
906,203753
907,222948
908,1539941
909,4508198
910,7793262
911,133148
912,8298
913,578625
914,9727804
915,75318337
916,107583
917,63926
918,4722072
919,3757132
920,12221675
921,5093854
922,29644875
923,1118159
924,31609195
925,1277086
926,24397022
927,4548543
928,450542
929,49230595
930,36406
931,50468
932,524895
933,54000000
934,3870300
935,7524472
936,25479
937,3735916
938,396011
939,641812
940,270618
941,8510429
942,94123
943,37600
944,4730540
945,73051
946,637845
947,3504600
948,2280048
949,4252876
950,4177637
951,10119835
952,97596733
953,49391
954,488848135
955,2866550
956,24307860
957,8122197
958,188983
959,2475000
960,51675350
961,1730738
962,1102399
963,97826000
964,11511847
965,9222692
966,2495300
967,6331449
968,45399
969,49931
970,27984155
971,423898
972,2327137
973,2041229
974,1217901
975,1667825
976,94636
977,18168
978,10849975
979,903763
980,2935200
981,327750
982,2240623
983,193561
984,4308
985,13857649
986,23236
987,2774000
988,5625164
989,100171
990,42771079
991,16710
992,1569142
993,5503752
994,321250
995,23717788
996,521753
997,1074514
998,10783
999,7857104
1000,956799
1001,736381
1002,4032371
1003,9253842
1004,698796
1005,88100
1006,3802803
1007,49066760
1008,2006481
1009,12127120
1010,3694339
1011,10783967
1012,5592
1013,2585400
1014,608889
1015,49627623
1016,1276331
1017,11383373
1018,29958688
1019,10799
1020,2434223
1021,31139450
1022,2554066
1023,12282419
1024,9035365
1025,2115567
1026,984823
1027,90139
1028,67566
1029,18919126
1030,125345000
1031,3164263
1032,4677298
1033,8503994
1034,3580239
1035,1841600
1036,132759
1037,2466667
1038,3109563
1039,17099
1040,3001158
1041,3069739
1042,64277
1043,320270
1044,4327341
1045,1632114
1046,7661354
1047,365122
1048,46322
1049,5200336
1050,5848
1051,3246523
1052,1662073
1053,30881138
1054,2402477
1055,1833064
1056,510034
1057,71741
1058,902613
1059,4461114
1060,30244261
1061,5356
1062,11295681
1063,7719104
1064,44796964
1065,2665388
1066,191889000
1067,9762816
1068,85111
1069,9369096
1070,8646
1071,40800
1072,36779999
1073,72115
1074,123342
1075,1050000
1076,5641597
1077,18896307
1078,3463213
1079,4322861
1080,57360
1081,9956320
1082,5770570
1083,1864791
1084,18549
1085,149857
1086,22159650
1087,2211319
1088,23672
1089,58698
1090,11388000
1091,7270889
1092,4592609
1093,3094379
1094,9463667
1095,2632356
1096,5174870
1097,55385112
1098,8204168
1099,187431
1100,140059
1101,3535643
1102,8610000
1103,106119
1104,50100
1105,4038872
1106,83373530
1107,235413
1108,102386
1109,253994
1110,559994
1111,1639706
1112,19678000
1113,5856472
1114,114995
1115,8989621
1116,715185000
1117,4226844
1118,5773543
1119,17369883
1120,1155392
1121,18725245
1122,207424
1123,230418
1124,1592841
1125,4580374
1126,7958169
1127,135266
1128,8369
1129,580966
1130,9779358
1131,75963695
1132,114963
1133,65038
1134,4759012
1135,3877765
1136,12550885
1137,5243977
1138,30433022
1139,1148189
1140,31954292
1141,1294566
1142,25013626
1143,4563732
1144,463968
1145,49818028
1146,36847
1147,52227
1148,533361
1149,54348050
1150,3921600
1151,7739473
1152,26073
1153,3801705
1154,405259
1155,649790
1156,276300
