,r_distance
798,141.488
799,2651.55
800,1007.59
801,1445.89
802,1856.08
803,262.359
804,2573.992
805,242.825
806,1524.22
807,555.307
808,1625.5966666666666
809,1419.62
810,1294.39
811,1538.46
812,284.917
813,821.3
814,1542.49
815,1634.13
816,586.834
817,199.736
818,299.65
819,366.064
820,196.691
821,2818.46
822,395.9
823,2061.47
824,1470.38
825,235.109
826,1121.84
827,1929.98
828,415.3855
829,1412.47
830,4368.1
831,4596.27
832,819.063
833,364.291
834,1563.17
835,341.478
836,1243.67
837,1465.64
838,2324.81
839,2081.37
840,902.551
841,2671.65
842,1222.61
843,2112.93
844,968.431
845,1404.02
846,2167.32
847,1663.75
848,831.763
849,1424.28
850,998.553
851,2454.08
852,287.996
853,143.295
854,268.316
855,204.026
856,194.104
857,1885.95
858,2093.23
859,268.146
860,664.133
861,3699.64
862,2230.32
863,375.053
864,3326.52
865,31.9729
866,2275.89
867,2796.43
868,309.188
869,1185.12
870,303.842
871,234.459
872,1559.55
873,576.288
874,1475.3
875,425.103
876,4717.28
877,469.481
878,729.171
879,1438.49
880,634.835
881,196.507
882,319.319
883,4156.02
884,311.48
885,255.818
886,396.729
887,211.261
888,2401.625
889,681.436
890,771.261
891,5645.42
892,2495.51
893,592.689
894,4028.91
895,250.512
896,227.854
897,565.951
898,844.804
899,419.449
900,1776.15
901,334.443
902,525.451
903,209.427
904,245.892
905,292.594
906,1378.1
907,531.418
908,581.12
909,1226.05
910,1582.51
911,1941.05
912,310.814
913,430.443
914,1277.31
915,2272.87
916,1629.69
917,317.6485
918,135.778
919,368.001
920,1075.95
921,240.339
922,5255.48
923,509.302
924,2216.92
925,1319.97
926,1291.13
927,275.508
928,298.061
929,1758.57
930,1503.76
931,1410.57
932,1259.96
933,628.443
934,361.06
935,255.512
936,1723.26
937,1903.69
938,983.431
939,828.466
940,1481.07
941,965.59
942,181.325
943,2707.97
944,2868.04
945,449.133
946,2819.69
947,1091.4
948,2198.13
949,3721.96
950,1477.0
951,748.115
952,1931.02
953,1683.07
954,2792.89
955,1916.28
956,288.95
957,930.324
958,219.112
959,391.54
960,696.197
961,399.414
962,734.376
963,405.354
964,491.227
965,115.707
966,1240.2
967,1141.31
968,4415.7
969,674.044
970,484.264
971,953.228
972,1307.46
973,804.953
974,1800.86
975,1289.76
976,649.404
977,1085.47
978,462.508
979,3494.81
980,755.226
981,417.549
982,737.595
983,1049.11
984,484.63
985,323.688
986,2578.82
987,898.923
988,1488.86
989,168.765
990,72.3356
991,220.897
992,311.439
993,1226.88
994,197.64
995,305.356
996,394.049
997,396.388
998,415.992
999,336.024
1000,1023.18
1001,299.006
1002,1078.41
1003,420.144
1004,877.02
1005,1530.98
1006,929.132
1007,216.732
1008,287.346
1009,260.003
1010,1139.67
1011,315.013
1012,234.996
