,total_cases
806,1.0
807,1.0
808,1.0
809,1.0
810,1.0
811,1.0
812,2.0
813,2.0
814,2.0
815,3.0
816,3.0
817,4.0
818,8.0
819,11.0
820,21.0
821,24.0
822,43.0
823,43.0
824,83.0
825,91.0
826,104.0
827,118.0
828,134.0
829,176.0
830,252.0
831,317.0
832,404.0
833,492.0
834,610.0
835,788.0
836,970.0
837,1170.0
838,1423.0
839,1806.0
840,2244.0
841,2767.0
842,3293.0
843,3873.0
844,4216.0
845,4780.0
846,5175.0
847,5761.0
848,6360.0
849,7016.0
850,7897.0
851,8579.0
852,9264.0
853,9980.0
854,10608.0
855,11414.0
856,12207.0
857,12901.0
858,13615.0
859,14484.0
860,15256.0
861,16227.0
862,17192.0
863,18360.0
864,19763.0
865,21071.0
866,22268.0
867,23431.0
868,24507.0
869,25910.0
870,27347.0
871,29052.0
872,30296.0
873,31828.0
874,33165.0
875,34784.0
876,36807.0
877,38753.0
878,40468.0
879,42705.0
880,44297.0
881,46951.0
882,48993.0
883,51535.0
884,54022.0
885,57647.0
886,60507.0
887,63086.0
888,66145.0
889,69312.0
890,72226.0
891,75344.0
892,78270.0
893,81273.0
894,84587.0
895,88255.0
896,91266.0
897,95057.0
898,99752.0
899,103620.0
900,107485.0
901,111605.0
902,115733.0
903,119444.0
904,124524.0
905,129440.0
906,135186.0
907,141304.0
908,146551.0
909,152336.0
910,157214.0
911,162311.0
912,169417.0
913,176603.0
914,183202.0
915,189536.0
916,196187.0
917,202657.0
918,209202.0
919,216605.0
920,224684.0
921,232771.0
922,241551.0
923,251144.0
924,258786.0
925,267522.0
926,275757.0
927,285570.0
928,296919.0
929,306356.0
930,315343.0
931,324419.0
932,335768.0
933,347710.0
934,359308.0
935,371545.0
936,382153.0
937,393283.0
938,404891.0
939,418104.0
940,432306.0
941,447466.0
942,462951.0
943,476586.0
944,490326.0
945,507792.0
946,522535.0
947,541725.0
948,559430.0
949,578216.0
950,594933.0
951,611002.0
952,625452.0
953,643484.0
954,663929.0
955,683468.0
956,702480.0
957,721049.0
958,736561.0
959,750440.0
960,770049.0
961,788518.0
962,810613.0
963,828757.0
964,847065.0
965,860515.0
966,874016.0
967,891656.0
968,909073.0
969,928075.0
970,944997.0
971,957731.0
972,968595.0
973,978515.0
974,993874.0
975,1008204.0
976,1021693.0
977,1035915.0
978,1048272.0
979,1057404.0
980,1065279.0
981,1074535.0
982,1084940.0
983,1097484.0
984,1109296.0
985,1119254.0
986,1128106.0
987,1136758.0
988,1147648.0
989,1158260.0
990,1168533.0
991,1178966.0
992,1188019.0
993,1195531.0
994,1203068.0
995,1211924.0
996,1220472.0
997,1228581.0
998,1236945.0
999,1245415.0
1000,1252228.0
1001,1259391.0
1002,1268105.0
1003,1275851.0
1004,1284430.0
1005,1291822.0
1006,1299644.0
1007,1306517.0
1008,1314196.0
1009,1322490.0
1010,1330538.0
1011,1339233.0
1012,1346641.0
1013,1353386.0
1014,1359867.0
1015,1366423.0
1016,1373750.0
1017,1382352.0
1018,1390520.0
1019,1399248.0
1020,1407668.0
1021,1413814.0
1022,1420652.0
1023,1429378.0
1024,1437564.0
1025,1445542.0
1026,1451954.0
1027,1460322.0
1028,1465989.0
1029,1473500.0
1030,1481930.0
1031,1489195.0
1032,1498044.0
1033,1506872.0
1034,1514965.0
1035,1519672.0
1036,1526267.0
1037,1536821.0
1038,1547725.0
1039,1556288.0
1040,1569819.0
1041,1578797.0
1042,1584674.0
1043,1592514.0
1044,1604026.0
1045,1613133.0
1046,1623813.0
1047,1638080.0
1048,1646273.0
1049,1655958.0
1050,1665745.0
1051,1676224.0
1052,1687190.0
1053,1697608.0
1054,1709369.0
1055,1718465.0
1056,1729156.0
1057,1737828.0
1058,1749731.0
1059,1760797.0
1060,1774401.0
1061,1785475.0
1062,1795768.0
1063,1803344.0
1064,1814219.0
1065,1828228.0
1066,1843619.0
1067,1855337.0
1068,1870356.0
1069,1882860.0
1070,1891757.0
1071,1904921.0
1072,1918938.0
1073,1934695.0
1074,1949358.0
1075,1963445.0
1076,1976005.0
1077,1986322.0
1078,1999195.0
1079,2014480.0
1080,2028406.0
1081,2044150.0
1082,2057507.0
1083,2070302.0
1084,2080377.0
1085,2092881.0
1086,2107527.0
1087,2121460.0
1088,2137499.0
1089,2150900.0
1090,2163977.0
1091,2174318.0
1092,2185155.0
1093,2201566.0
1094,2217208.0
1095,2235176.0
1096,2249944.0
1097,2263420.0
1098,2274054.0
1099,2287309.0
1100,2306706.0
1101,2325841.0
1102,2344920.0
1103,2363057.0
1104,2379283.0
1105,2390688.0
1106,2408675.0
1107,2429803.0
1108,2450322.0
1109,2469642.0
1110,2490910.0
1111,2509336.0
1112,2526123.0
1113,2546110.0
1114,2571857.0
1115,2598902.0
1116,2624687.0
1117,2646070.0
1118,2664745.0
1119,2679944.0
1120,2700072.0
1121,2730665.0
1122,2760454.0
1123,2788203.0
1124,2811093.0
1125,2833088.0
1126,2854863.0
1127,2881708.0
1128,2917497.0
1129,2952934.0
1130,2989374.0
1131,3024446.0
1132,3056084.0
1133,3084082.0
1134,3110152.0
1135,3144213.0
1136,3178460.0
1137,3210018.0
1138,3237546.0
1139,3264174.0
1140,3286590.0
1141,3310074.0
1142,3338410.0
1143,3366360.0
1144,3392340.0
1145,3419704.0
1146,3439885.0
1147,3456519.0
1148,3475126.0
1149,3495987.0
1150,3516765.0
1151,3535971.0
1152,3553839.0
1153,3569601.0
1154,3582291.0
1155,3597115.0
1156,3612577.0
1157,3629043.0
1158,3644975.0
1159,3658315.0
1160,3670256.0
1161,3681607.0
1162,3692899.0
1163,3706026.0
1164,3717944.0
1165,3731845.0
1166,3742776.0
1167,3753191.0
1168,3763031.0
1169,3773025.0
1170,3785191.0
1171,3799239.0
1172,3810283.0
1173,3819822.0
1174,3829333.0
1175,3838352.0
1176,3846104.0
1177,3856590.0
1178,3868956.0
1179,3880035.0
1180,3887867.0
1181,3897281.0
1182,3906070.0
1183,3913621.0
1184,3924485.0
1185,3937063.0
1186,3945600.0
1187,3955555.0
1188,3964028.0
1189,3973315.0
1190,3981120.0
1191,3991541.0
1192,4006762.0
1193,4016631.0
1194,4026961.0
1195,4035519.0
1196,4044037.0
1197,4053080.0
1198,4064067.0
1199,4075369.0
1200,4087990.0
1201,4097237.0
1202,4106372.0
1203,4116081.0
1204,4124678.0
1205,4135500.0
1206,4148074.0
1207,4166506.0
1208,4176105.0
1209,4185014.0
1210,4194759.0
1211,4204543.0
1212,4217242.0
1213,4239521.0
1214,4252592.0
1215,4261395.0
1216,4270946.0
1217,4280169.0
1218,4289781.0
1219,4301440.0
1220,4318253.0
1221,4330814.0
1222,4340528.0
1223,4350270.0
1224,4360482.0
1225,4370255.0
1226,4384177.0
1227,4396821.0
1228,4408875.0
1229,4422234.0
1230,4431585.0
1231,4440334.0
1232,4450456.0
1233,4462323.0
1234,4474793.0
1235,4486858.0
1236,4497010.0
1237,4506469.0
1238,4513330.0
